timestamp,determinand,unit,value,tank,tank_num
2023-04-02 15:00:00,pr,mBar,1017.67,CON.AVG,1.0
2023-04-02 16:00:00,pr,mBar,1019.03,CON.AVG,1.0
2023-04-02 18:00:00,ph,pH,7.43,CON.AVG,1.0
2023-04-02 18:00:00,pr,mBar,1019.4,CON.AVG,1.0
2023-04-02 19:00:00,pr,mBar,1019.65,CON.AVG,1.0
2023-04-02 20:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-02 21:00:00,ph,pH,7.43,CON.AVG,1.0
2023-04-02 21:00:00,pr,mBar,1019.67,CON.AVG,1.0
2023-04-02 22:00:00,pr,mBar,1020.2,CON.AVG,1.0
2023-04-03 00:00:00,ph,pH,7.65,CON.AVG,1.0
2023-04-03 00:00:00,pr,mBar,1020.2,CON.AVG,1.0
2023-04-03 00:00:00,Ammonia,mg/l as N,15.84,CON.AVG,1.0
2023-04-03 00:00:00,Nitrate,mg/l as N,0.12,CON.AVG,1.0
2023-04-03 00:00:00,Nitrite,mg/l as N,0.02,CON.AVG,1.0
2023-04-03 00:00:00,Phosphorus,mgP/l,2.5,CON.AVG,1.0
2023-04-03 00:00:00,Soluble Chemical Oxygen Demand,mgO₂/l,56.89,CON.AVG,1.0
2023-04-03 00:00:00,Sulphate,mgSO₄/l,32.64,CON.AVG,1.0
2023-04-03 00:00:00,Suspended solids,mg/l,54.56,CON.AVG,1.0
2023-04-03 00:00:00,Total Chemical Oxygen Demand,mgO₂/l,135.78,CON.AVG,1.0
2023-04-03 00:00:00,Total Nitrogen (as N),mg/l as N,20.68,CON.AVG,1.0
2023-04-03 00:00:00,Total organic carbon,mgC/l,31.27,CON.AVG,1.0
2023-04-03 00:00:00,Total oxidised nitrogen,mg/l as N,0.12,CON.AVG,1.0
2023-04-03 01:00:00,pr,mBar,1020.4,CON.AVG,1.0
2023-04-03 03:00:00,ph,pH,7.93,CON.AVG,1.0
2023-04-03 03:00:00,pr,mBar,1020.2,CON.AVG,1.0
2023-04-03 04:00:00,pr,mBar,1020.4,CON.AVG,1.0
2023-04-03 06:00:00,ph,pH,7.85,CON.AVG,1.0
2023-04-03 06:00:00,pr,mBar,1020.2,CON.AVG,1.0
2023-04-03 07:00:00,pr,mBar,1020.4,CON.AVG,1.0
2023-04-03 08:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-03 10:00:00,ph,pH,7.54,CON.AVG,1.0
2023-04-03 13:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-03 13:00:00,ph,pH,7.43,CON.AVG,1.0
2023-04-03 14:00:00,pr,mBar,1018.53,CON.AVG,1.0
2023-04-03 15:00:00,pr,mBar,1016.62,CON.AVG,1.0
2023-04-03 16:00:00,ph,pH,7.41,CON.AVG,1.0
2023-04-03 17:00:00,pr,mBar,1015.2,CON.AVG,1.0
